Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Kingdom	Phylum	Class	Order	Family	Genus	Species
UP000585422	Haliaeetus albicilla	8969	15042		Unknown	Metazoa	Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus albicilla
UP000586634	Nycticryphes semicollaris	227226	14293		Close to standard (high value)	Metazoa	Chordata	Aves	Charadriiformes	Rostratulidae	Nycticryphes	Nycticryphes semicollaris
UP000586671	Dromas ardeola	458190	13881		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Dromadidae	Dromas	Dromas ardeola
UP000586704	Ceyx cyanopectus	390723	11903		Unknown	Metazoa	Chordata	Aves	Coraciiformes	Alcedinidae	Ceyx	Ceyx cyanopectus
UP000586926	Mohoua ochrocephala	874463	13564		Unknown	Metazoa	Chordata	Aves	Passeriformes	Acanthizidae	Mohoua	Mohoua ochrocephala
UP000587472	Psophia crepitans	54359	13853		Standard	Metazoa	Chordata	Aves	Gruiformes	Psophiidae	Psophia	Psophia crepitans
UP000587587	Promerops cafer	254652	14071		Unknown	Metazoa	Chordata	Aves	Passeriformes	Nectariniidae	Promerops	Promerops cafer
UP000587655	Ibidorhyncha struthersii	425643	13835		Unknown	Metazoa	Chordata	Aves	Charadriiformes	Charadriidae	Ibidorhyncha	Ibidorhyncha struthersii
UP000587697	Rhadina sibilatrix	2585818	13615		Unknown	Metazoa	Chordata	Aves	Passeriformes	Phylloscopidae	Rhadina	Rhadina sibilatrix
UP000588334	Sclerurus mexicanus	265632	14009		Unknown	Metazoa	Chordata	Aves	Passeriformes	Furnariidae	Sclerurus	Sclerurus mexicanus
UP000589485	Sapayoa aenigma	239371	13839		Unknown	Metazoa	Chordata	Aves	Passeriformes	Tyrannidae	Sapayoa	Sapayoa aenigma
UP000589495	Vireo altiloquus	34956	14067		Unknown	Metazoa	Chordata	Aves	Passeriformes	Vireonidae	Vireo	Vireo altiloquus
UP000590623	Cinclus mexicanus	161649	13465		Unknown	Metazoa	Chordata	Aves	Passeriformes	Cinclidae	Cinclus	Cinclus mexicanus
